Precinct,Registered
21089C110,873
21091A101,591
21091A102,974
21091B101,474
21091B102,662
21091B103,500
21091C101,994
21091C102,745
21091D101,562
21091D102,647
21091D103,506
21093A001,658
21093A002,1562
21093A003,1131
21093A004,1291
21093A005,1450
21093A006,1390
21093A007,310
21093A008,1535
21093A009,1898
21093A010,299
21093B001,1242
21093B002,2066
21093B003,1953
21093B004,1671
21093B005,1054
21093B006,1355
21093C001,1012
21093C002,1824
21093C003,1431
21093C004,1890
21093C005,1001
21093C006,1580
21093C007,1291
21093D001,1194
21093D002,1908
21093D003,1327
21093D004,2487
21093D005,2200
21093D006,1105
21093E001,908
21093E002,825
21093E003,1889
21093E004,2233
21093E005,1432
21093E006,793
21093F001,1380
21093F002,1289
21093F003,1847
21093F004,1521
21093F005,1256
21093F006,1149
21093F007,779
21093F008,118
21093G001,808
21093G002,826
21093G003,909
21093G004,642
21093G005,138
21093G006,1619
21093G007,952
21093G008,1649
21093G009,1321
21093H001,1604
21093H002,316
21093H003,118
21093H004,1488
21093H005,2171
21093H006,1475
21093H007,1869
21093H008,1157
21095A101,1379
21095A108,1420
21095A110,460
21095A111,299
21095A112,729
21095B102,663
21095B103,660
21095B104,571
21095B105,615
21095B106,702
21095B107,445
21095B109,586
21095C101,418
21095C102,295
21095C103,294
21095C104,720
21095C106,290
21095C107,604
21095C109,555
21095C111,616
21095D101,1242
21095D103,314
21095D104,678
21095D106,1027
21095D108,311
21095D109,388
21095E102,1207
21095E104,700
21095E105,552
21095E106,756
21095E107,596
21095E108,413
21097A101,760
21097A102,625
21097A103,285
21097B101,842
21097B102,695
21097B103,202
21097C101,826
21097C102,826
21097D101,631
21097D102,976
21097D103,211
21097E101,847
21097E102,822
21097F101,837
21097F102,812
21097G101,891
21097G102,721
21097H101,881
21097H102,705
21099A101,455
21099A102,966
21099A103,286
21099A104,922
21099B102,879
21099B103,889
21099B104,876
21099C101,909
21099C102,1130
21099C103,497
21099C104,301
21099D101,603
21099D102,392
21099D103,493
21099D104,1102
21099D105,259
21099E102,400
21099E103,1017
21099E104,733
21101A101,682
21101A102,595
21101A108,1076
21101A110,951
21101A111,697
21101A112,675
21101A114,1258
21101A116,849
21101B101,736
21101B102,390
21101B103,801
21101B104,722
21101B105,675
21101B106,903
21101B108,638
21101B109,251
21101B110,884
21101B111,896
21101B112,434
21101C101,744
21101C102,457
21101C103,559
21101C104,872
21101C105,500
21101C106,438
21101C107,960
21101C109,788
21101C110,396
21101C111,787
21101D101,697
21101D102,591
21101D103,881
21101D104,939
21101D106,1058
21101D109,923
21101D111,1119
21101E105,1411
21101E106,666
21101E107,751
21101E108,899
21101E109,629
21101E110,462
21101E111,660
21101E112,788
21101E113,1055
21103A101,851
21103A102,826
21103A103,316
21103B101,1070
21103B102,407
21103B103,702
21103C101,1157
21103C102,477
21103C103,332
21103D101,1358
21103D102,546
21103E101,132
21103E102,299
21103E103,411
21103E104,325
21103E105,255
21103E106,535
21103F101,526
21103F102,333
21103F103,927
21105A101,376
21105A102,686
21105B101,709
21105B102,660
21105C101,514
21105C102,773
21107A001,538
21107A002,583
21107A003,1313
21107A004,189
21107A005,492
21107A006,608
21107A007,813
21107B008,751
21107B009,737
21107B010,446
21107B011,733
21107B012,513
21107B013,318
21107B014,711
21107B015,544
21107C016,783
21107C017,712
21107C018,883
21107C019,722
21107C020,673
21107C021,930
21107C022,582
21107D023,1117
21107D024,873
21107D025,851
21107D026,372
21107D027,1312
21107D028,913
21107D029,286
21107E030,633
21107E031,670
21107E032,447
21107E033,888
21107E034,1047
21107E035,637
21107E036,404
21107F037,276
21107F038,1174
21107F039,613
21107F040,751
21107F041,341
21107F042,578
21107F043,807
21107G044,585
21107G045,786
21107G046,598
21107G047,616
21107G048,670
21107G049,711
21107G050,543
21109A101,745
21109A102,822
21109A103,863
21109A104,270
21109A105,299
21109A106,368
21109B101,1238
21109B102,1407
21109B103,1068
21109B104,591
21109C101,777
21109C102,583
21109C103,447
21109C104,426
21111A105,1864
21111A107,905
21111A108,1548
21111A111,1240
21111A113,1267
21111A114,1155
21111A115,1247
21111A118,752
21111A119,1087
21111A121,1487
21111A123,1548
21111A124,1149
21111A125,1129
21111A126,1189
21111A127,955
21111A128,1142
21111A129,1461
21111A130,771
21111A131,1244
21111A134,1137
21111A135,1103
21111A136,682
21111A139,996
21111A140,1655
21111A141,66
21111A142,378
21111A143,15
21111B124,1054
21111B132,1120
21111B133,1427
21111B134,2006
21111B149,963
21111B151,1505
21111B153,82
21111B154,1278
21111B155,965
21111B156,1478
21111B157,2032
21111B158,1413
21111B159,2118
21111B160,784
21111B161,134
21111B162,1470
21111B163,1517
21111B166,913
21111B168,1329
21111B169,1026
21111B170,895
21111B172,1835
21111B173,1255
21111B175,1210
21111B177,1206
21111B181,164
21111B182,726
21111B183,1893
21111B184,26
21111B185,539
21111C101,1143
21111C102,718
21111C103,1156
21111C104,925
21111C105,586
21111C106,1868
21111C108,1356
21111C109,611
21111C110,901
21111C111,1487
21111C113,530
21111C115,1622
21111C122,866
21111C123,636
21111C124,1280
21111C125,1073
21111C126,1412
21111C128,223
21111C129,1499
21111C130,94
21111C131,587
21111C133,1347
21111C134,1038
21111C135,1009
21111C136,670
21111C137,922
21111C138,609
21111C139,39
21111C141,809
21111C142,799
21111C143,215
21111C144,108
21111C145,267
21111C146,1
21111C147,3
21111C148,47
21111C149,15
21111C150,11
21111C151,31
21111D101,894
21111D104,887
21111D106,974
21111D108,1207
21111D109,540
21111D110,944
