Precinct,race,Registered,Dem,GOP,Ind,d_pct,agg_d_pct,good_precinct,turnout
21111E141,house032,508,166,158,0,0.5123456790123457,0.4928071171682756,TRUE,0.6377952755905512
21111E142,house032,943,317,262,0,0.5474956822107081,0.4928071171682756,TRUE,0.6139978791092259
21111E143,house032,1016,296,221,0,0.5725338491295938,0.4928071171682756,TRUE,0.5088582677165354
21111E144,house032,1294,410,308,0,0.5710306406685237,0.4928071171682756,TRUE,0.5548686244204019
21111E145,house032,1244,385,337,0,0.5332409972299169,0.4928071171682756,TRUE,0.5803858520900321
21111E148,house032,1269,422,460,0,0.47845804988662133,0.4928071171682756,FALSE,0.6950354609929078
21111E152,house032,1188,356,472,0,0.42995169082125606,0.4928071171682756,FALSE,0.696969696969697
21111E154,house032,940,346,328,0,0.5133531157270029,0.4928071171682756,TRUE,0.7170212765957447
21111E155,house032,1197,398,333,0,0.5444596443228454,0.4928071171682756,TRUE,0.6106934001670844
21111E157,house032,311,100,102,0,0.49504950495049505,0.4928071171682756,TRUE,0.6495176848874598
21111E158,house032,640,239,232,0,0.5074309978768577,0.4928071171682756,TRUE,0.7359375
21111E159,house032,536,193,188,0,0.5065616797900262,0.4928071171682756,TRUE,0.710820895522388
21111E160,house032,907,300,316,0,0.487012987012987,0.4928071171682756,FALSE,0.679162072767365
21111E161,house032,513,121,226,0,0.34870317002881845,0.4928071171682756,FALSE,0.6764132553606238
21111E162,house032,671,130,124,0,0.5118110236220472,0.4928071171682756,TRUE,0.37853949329359166
21111E163,house032,1212,273,565,0,0.32577565632458233,0.4928071171682756,FALSE,0.6914191419141914
21111E164,house032,1050,247,471,0,0.34401114206128136,0.4928071171682756,FALSE,0.6838095238095238
21111E165,house032,1710,446,391,0,0.5328554360812425,0.4928071171682756,TRUE,0.48947368421052634
21111E166,house032,695,229,254,0,0.474120082815735,0.4928071171682756,FALSE,0.6949640287769784
21111E167,house032,1550,374,254,0,0.5955414012738853,0.4928071171682756,TRUE,0.40516129032258064
21111E168,house032,741,160,235,0,0.4050632911392405,0.4928071171682756,FALSE,0.5330634278002699
21111E169,house032,1458,431,614,0,0.41244019138755983,0.4928071171682756,FALSE,0.7167352537722909
21111E171,house032,738,267,209,0,0.5609243697478992,0.4928071171682756,TRUE,0.6449864498644986
21111E173,house032,931,310,152,0,0.670995670995671,0.4928071171682756,TRUE,0.49624060150375937
21111E175,house032,789,265,243,0,0.5216535433070866,0.4928071171682756,TRUE,0.6438529784537389
21111E176,house032,737,156,147,0,0.5148514851485149,0.4928071171682756,TRUE,0.41112618724559025
21111E177,house032,380,143,129,0,0.5257352941176471,0.4928071171682756,TRUE,0.7157894736842105
21111E178,house032,937,282,363,0,0.4372093023255814,0.4928071171682756,FALSE,0.688367129135539
21111E179,house032,949,246,423,0,0.36771300448430494,0.4928071171682756,FALSE,0.7049525816649105
21111E180,house032,1149,336,283,0,0.5428109854604201,0.4928071171682756,TRUE,0.5387293298520452
21111E181,house032,1254,381,371,0,0.5066489361702128,0.4928071171682756,TRUE,0.5996810207336523
21111E182,house032,1954,616,707,0,0.4656084656084656,0.4928071171682756,FALSE,0.6770726714431935
21111E183,house032,961,317,283,0,0.5283333333333333,0.4928071171682756,TRUE,0.6243496357960457
21111E184,house032,908,233,279,0,0.455078125,0.4928071171682756,FALSE,0.5638766519823789
21111E185,house032,645,160,102,0,0.6106870229007634,0.4928071171682756,TRUE,0.4062015503875969
21111G103,house034,896,408,97,0,0.807920792079208,0.6620339821840977,TRUE,0.5636160714285714
21111G104,house034,788,323,110,0,0.745958429561201,0.6620339821840977,TRUE,0.549492385786802
21111G106,house034,861,368,117,0,0.7587628865979381,0.6620339821840977,TRUE,0.5632984901277585
21111G107,house034,937,422,140,0,0.7508896797153025,0.6620339821840977,TRUE,0.5997865528281751
21111G108,house034,626,324,92,0,0.7788461538461539,0.6620339821840977,TRUE,0.6645367412140575
21111G109,house034,1354,560,187,0,0.749665327978581,0.6620339821840977,TRUE,0.551698670605613
21111G111,house034,883,458,119,0,0.7937608318890814,0.6620339821840977,TRUE,0.6534541336353341
21111G112,house034,1615,780,228,0,0.7738095238095238,0.6620339821840977,TRUE,0.6241486068111455
21111G116,house034,1202,604,201,0,0.7503105590062111,0.6620339821840977,TRUE,0.6697171381031614
21111G117,house034,1561,763,272,0,0.7371980676328502,0.6620339821840977,TRUE,0.6630365150544523
21111G119,house034,667,286,166,0,0.6327433628318584,0.6620339821840977,FALSE,0.6776611694152923
21111G120,house034,795,392,163,0,0.7063063063063063,0.6620339821840977,TRUE,0.6981132075471698
21111G121,house034,737,319,220,0,0.5918367346938775,0.6620339821840977,FALSE,0.7313432835820896
21111G122,house034,623,289,119,0,0.7083333333333334,0.6620339821840977,TRUE,0.6548956661316212
21111G123,house034,311,147,84,0,0.6363636363636364,0.6620339821840977,FALSE,0.7427652733118971
21111G124,house034,1289,510,353,0,0.5909617612977984,0.6620339821840977,FALSE,0.669511249030256
21111G126,house034,741,334,196,0,0.630188679245283,0.6620339821840977,FALSE,0.7152496626180836
21111G129,house034,250,113,68,0,0.6243093922651933,0.6620339821840977,FALSE,0.724
21111G140,house034,845,408,116,0,0.7786259541984732,0.6620339821840977,TRUE,0.6201183431952663
21111G141,house034,924,393,152,0,0.7211009174311926,0.6620339821840977,TRUE,0.5898268398268398
21111G142,house034,307,110,57,0,0.6586826347305389,0.6620339821840977,FALSE,0.5439739413680782
21111G143,house034,1380,618,211,0,0.7454764776839565,0.6620339821840977,TRUE,0.6007246376811595
21111G144,house034,1112,487,176,0,0.7345399698340875,0.6620339821840977,TRUE,0.5962230215827338
21111G145,house034,1489,624,299,0,0.676056338028169,0.6620339821840977,TRUE,0.6198791134989926
21111G146,house034,1166,558,217,0,0.72,0.6620339821840977,TRUE,0.6646655231560892
21111G147,house034,971,447,249,0,0.6422413793103449,0.6620339821840977,FALSE,0.7167868177136972
21111G148,house034,484,204,120,0,0.6296296296296297,0.6620339821840977,FALSE,0.6694214876033058
21111G149,house034,520,240,123,0,0.6611570247933884,0.6620339821840977,FALSE,0.698076923076923
21111G150,house034,806,187,177,0,0.5137362637362637,0.6620339821840977,FALSE,0.45161290322580644
21111G151,house034,627,234,167,0,0.5835411471321695,0.6620339821840977,FALSE,0.6395534290271132
21111G154,house034,974,391,244,0,0.6157480314960629,0.6620339821840977,FALSE,0.6519507186858317
21111G155,house034,1203,478,220,0,0.6848137535816619,0.6620339821840977,TRUE,0.5802161263507897
21111G156,house034,1055,315,391,0,0.4461756373937677,0.6620339821840977,FALSE,0.6691943127962086
21111G157,house034,1226,497,397,0,0.5559284116331096,0.6620339821840977,FALSE,0.7292006525285482
21111G158,house034,1132,382,387,0,0.4967490247074122,0.6620339821840977,FALSE,0.6793286219081273
21111G160,house034,560,183,215,0,0.45979899497487436,0.6620339821840977,FALSE,0.7107142857142857
21111G161,house034,649,301,152,0,0.6644591611479028,0.6620339821840977,TRUE,0.6979969183359014
21111G162,house034,170,44,54,0,0.4489795918367347,0.6620339821840977,FALSE,0.5764705882352941
21111G163,house034,794,263,205,0,0.561965811965812,0.6620339821840977,FALSE,0.5894206549118388
21111G164,house034,1670,594,408,0,0.592814371257485,0.6620339821840977,FALSE,0.6
21111G165,house034,531,218,168,0,0.56476683937823835,0.6620339821840977,FALSE,0.7269303201506592
21111G166,house034,214,81,53,0,0.6044776119402985,0.6620339821840977,FALSE,0.6261682242990654
21111G167,house034,610,195,135,0,0.5909090909090909,0.6620339821840977,FALSE,0.5409836065573771
21111G169,house034,523,174,117,0,0.5979381443298969,0.6620339821840977,FALSE,0.5564053537284895
21111H102,house035,1062,482,125,0,0.7940691927512356,0.6188649441498364,TRUE,0.571563088512241
21111H103,house035,1250,566,224,0,0.7164556962025317,0.6188649441498364,TRUE,0.632
21111H105,house035,986,487,157,0,0.7562111801242236,0.6188649441498364,TRUE,0.6531440162271805
21111H106,house035,913,430,166,0,0.7214765100671141,0.6188649441498364,TRUE,0.6527929901423878
21111H109,house035,528,229,97,0,0.7024539877300614,0.6188649441498364,TRUE,0.6174242424242424
21111H110,house035,961,463,184,0,0.7156105100463679,0.6188649441498364,TRUE,0.6732570239334027
21111H111,house035,680,244,158,0,0.6069651741293532,0.6188649441498364,FALSE,0.5911764705882353
21111H112,house035,964,349,245,0,0.5875420875420876,0.6188649441498364,FALSE,0.6161825726141079
21111H113,house035,481,165,179,0,0.4796511627906977,0.6188649441498364,FALSE,0.7151767151767152
21111H114,house035,30,6,2,0,0.75,0.6188649441498364,TRUE,0.26666666666666666
21111H115,house035,547,247,150,0,0.6221662468513854,0.6188649441498364,TRUE,0.7257769652650823
21111H116,house035,843,357,226,0,0.6123499142367067,0.6188649441498364,FALSE,0.6915776986951364
21111H117,house035,1303,469,455,0,0.5075757575757576,0.6188649441498364,FALSE,0.7091327705295472
21111H118,house035,1081,413,247,0,0.6257575757575757,0.6188649441498364,TRUE,0.61054579093432
21111H120,house035,1463,563,381,0,0.5963983050847458,0.6188649441498364,FALSE,0.6452494873547505
21111H121,house035,602,202,126,0,0.6158536585365854,0.6188649441498364,FALSE,0.5448504983388704
21111H123,house035,418,132,99,0,0.5714285714285714,0.6188649441498364,FALSE,0.5526315789473685
21111H124,house035,383,119,30,0,0.7986577181208053,0.6188649441498364,TRUE,0.38903394255874674
21111H125,house035,617,194,160,0,0.5480225988700564,0.6188649441498364,FALSE,0.5737439222042139
21111H126,house035,685,255,183,0,0.5821917808219178,0.6188649441498364,FALSE,0.6394160583941606
21111H127,house035,616,212,74,0,0.7412587412587412,0.6188649441498364,TRUE,0.4642857142857143
21111H131,house035,579,282,79,0,0.7811634349030471,0.6188649441498364,TRUE,0.6234887737478411
21111H132,house035,384,177,38,0,0.8232558139534883,0.6188649441498364,TRUE,0.5598958333333334
21111H133,house035,146,66,15,0,0.8148148148148148,0.6188649441498364,TRUE,0.5547945205479452
21111H138,house035,2045,678,363,0,0.6512968299711815,0.6188649441498364,TRUE,0.5090464547677261
